Time_Months,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,0.031845791349803455,0.03249368393013719,0.042448706927534795,0.04639754497442148,0.008482669572190325,0.016738096868053224,0.026552231044998903,0.03378587327496661,0.012660528030067085,0.03480744364806343,0.024065031601282334,0.023422832369942196,0.0011830206677265502,0.08420792139429206,0.2716231988059016,0.0006692084304426183,0.001179999701138774,1.5784147145390565e-05,0.011454175754681504,0.029836198694504323,0.029836198694504323,0.03151916371650146,0.028862586242946492,0.0005610816753443299,0.003045026885140299,0.013320206532971812,0.013320206532971812,0.017073117958198263,0.007574745876664725,0.01026487402104753
11,0.06031436971762742,0.04845160811591402,0.06196488961162279,0.06144040814577383,0.013299829259708736,0.023984990036236217,0.03493479363303776,0.03973378839590444,0.020659852878150396,0.04072230597986335,0.036770270682129194,0.042136705202312136,0.0018739984101748808,0.09153966680273866,0.2952726620357081,0.0011928989824544064,0.0011800170163894215,1.6236483187264503e-05,0.014586248186142388,0.03613592899532651,0.03613592899532651,0.03596606178267906,0.03185638192442107,0.0006034505665859576,0.0030496666410232847,0.017824723493302583,0.017824723493302583,0.02101249271768731,0.02618776894935297,0.01041943884953213
12,0.08558194433776146,0.07028807971229897,0.0827136465811795,0.0799220937212589,0.01912957744062792,0.030628121220291953,0.04232682477723239,0.04831568481970619,0.026626009386653916,0.057930902265599785,0.05639057213127459,0.054620134874759155,0.0031060413354531,0.09573013438931824,0.3087895401572995,0.0015161669011078459,0.0011800343316400693,1.6863405069861714e-05,0.01688235758932574,0.043322103202795295,0.043322103202795295,0.042642017813435386,0.038036270909685456,0.0006257370931928253,0.0030605925177799934,0.024511770534806958,0.024511770534806958,0.030697336670440695,0.0293750344665302,0.010572624917234857
13,0.09172463314802995,0.08137452293172566,0.09243391047779066,0.08864353345989613,0.02143161157434416,0.03350476659415381,0.04849809132120972,0.056620982341593705,0.029340708747331905,0.06733785599957019,0.06170377281410746,0.06332456647398844,0.0034390779014308427,0.09888593510050021,0.31896897066421726,0.001738702072064509,0.0011800516468907169,1.7553812712721935e-05,0.01942030872139041,0.049671245569891644,0.049671245569891644,0.04662747893199041,0.043137493689253424,0.0006343088341954668,0.003065381943207592,0.02551722184388156,0.02551722184388156,0.039586257464560085,0.03203246248858788,0.010840018336369432
14,0.0942696134826292,0.09272387068740155,0.09720668761786766,0.09553891420851718,0.02515125553802174,0.03636053628805453,0.05943419111749308,0.06982024039174951,0.033744056756009166,0.06936102030160902,0.06422499916809075,0.07754200385356455,0.003776518282988871,0.10875850982804054,0.3508141971410529,0.002001503304936007,0.0011800689621413647,1.810931311502326e-05,0.022449074862224448,0.06004623168495047,0.06004623168495047,0.05196992532974432,0.05207823458227919,0.0006485134335712726,0.0030658309518414293,0.026103375407549888,0.026103375407549888,0.04665573755242709,0.03933149983743595,0.011202632422002139
15,0.09621160768909619,0.1013872954093086,0.1006365818674269,0.1037003718093821,0.033290490076520275,0.04090128823937664,0.06669173307291416,0.08425328683780976,0.04062440740252419,0.07442366162876933,0.06528951892607153,0.0937961464354528,0.004712011128775835,0.1705457864653132,0.5501167977495838,0.0023683396819490954,0.0011801728536452508,1.860132775706158e-05,0.02975341418242143,0.06904000870495425,0.06904000870495425,0.06587702204192808,0.06268217204872453,0.000671167320506825,0.00307136872499209,0.026660679910481922,0.026660679910481922,0.0526000864272251,0.057157272086019166,0.011988411170938159
16,0.09746259967222098,0.10407297093362891,0.10271553023356432,0.10775363775976131,0.0377162674032276,0.04324472909490166,0.06992743154364343,0.08501126279863482,0.04422276289103174,0.07768254005194802,0.06633515408645825,0.10293574181117533,0.005933918918918919,0.2507249053037761,0.8087445892416327,0.002719146883235894,0.0011801901688958984,1.9585357041138218e-05,0.03468310179227068,0.0778976920133348,0.0778976920133348,0.08367561090999348,0.07241742226920506,0.0006841473854536821,0.0030845396449179856,0.0280838608979561,0.0280838608979561,0.05771615754344465,0.06224166553798846,0.012938406073831893
17,0.09820853607912526,0.10469580370995872,0.1042442393775644,0.10982651418153255,0.03859640316306127,0.04375694130936696,0.07062521026370028,0.08662120492654697,0.04478757191884602,0.08043999895505043,0.07096079043442396,0.10500867052023122,0.006355985691573927,0.27062793778718136,0.8729443136804639,0.0030459875699729044,0.0011802421146478415,2.1720065729981888e-05,0.038152690650259224,0.08736520010308459,0.08736520010308459,0.0989113274174705,0.08139179955264124,0.0007168424547066145,0.003099955608013068,0.033283014681322415,0.033283014681322415,0.06399203995954866,0.06433142069261924,0.014005681815733735
18,0.10194684267929796,0.10644836861324762,0.1089569729534623,0.12230528038409175,0.03897484958810996,0.044023893440266575,0.07211929695047091,0.09186260572785279,0.045251576680949576,0.09391545584964485,0.08666602902916185,0.10597687861271676,0.0073656915739268684,0.2816997721356887,0.9086579022906022,0.003858338470877276,0.0011808308331698629,2.2886616574814673e-05,0.046087297161098606,0.09372506888273974,0.09372506888273974,0.10907577332340851,0.08452364567625126,0.001120816362816816,0.003135277620541606,0.04126636417024217,0.04126636417024217,0.06884027565310288,0.06790500777059817,0.015101164705298068
19,0.11299721284894367,0.11279451087405536,0.1249022447886904,0.15091585935250726,0.04011925807908947,0.04539282490051106,0.07526870150754555,0.10142487015877727,0.04736702465535867,0.10253229845593072,0.10048193876054966,0.10855616570327553,0.011878950715421303,0.29197810677995306,0.941811958206556,0.004894595713192006,0.0011824584667307458,2.432298190076525e-05,0.059434310372886184,0.09778534535592935,0.09778534535592935,0.11473683358094498,0.08572179168863102,0.0034422887332179086,0.0033207181863164317,0.0468339293955068,0.0468339293955068,0.07263304363159354,0.07574581065735526,0.01560636563512285
