D,r,gamma,region_index
3530.923061654794,0.1417535473762518,0.07094390244269605,128
3561.119484650036,0.14375531331923488,0.06977612031558315,129
3551.129882706798,0.14258251494202256,0.07054261467256863,130
3551.1402372045077,0.14258728694885864,0.07054310427785367,131
3551.126643897364,0.14258085341225393,0.07054254215985412,132
3551.1381778314985,0.14258635362096989,0.07054300578676369,133
3551.1841493329807,0.1425685666757758,0.0705723838064481,134
3551.163928533354,0.1426045036795784,0.07054496234382955,135
3551.4846582432547,0.1425878260457505,0.07050604745295268,136
3544.7355628396617,0.14107157847102894,0.07065853269461578,137
3559.9902660269736,0.1426088694285737,0.07043149821554834,138
3523.7527247936455,0.12977093060868397,0.0676769637565213,139
3553.0415517438687,0.14317387736030082,0.07201223302873604,140
3567.650411958346,0.14361635519512464,0.06574153458016807,141
3563.3929735408037,0.14576504534128512,0.07126893279711223,142
3542.175975389959,0.1425225927057222,0.07084514032978013,143
3547.2851432916405,0.14238593919226974,0.07053900342820081,144
3703.0509585587265,0.26981314217002883,0.03703099596191644,145
3528.264451984353,0.31491429024683854,0.08058968268750456,146
3564.790254246239,0.25052035296102915,0.07666402949534327,147
3553.8956691016415,0.269687555699119,0.038018002158868566,148
3541.8666939575955,0.14721346403463426,0.07028101382889981,149
3537.5314645897565,0.14461642335852415,0.0706664173187672,150
3539.4928182459894,0.2751723920739851,0.07085836002250949,151
3282.427386388451,0.2993945467962829,0.07895191299434014,152
5240.84539969627,0.20025110840982005,0.04998448127157068,153
3539.474767133358,0.1407204894232492,0.07016483266209071,154
3546.1910037384496,0.14105124693000937,0.07126732529939699,155
3544.594608267631,0.14092369587432457,0.07118299650684859,156
3546.0733951165935,0.14105642794865955,0.07126461558201129,157
3543.969337330758,0.14098693159209608,0.07106612326827427,158
3543.134546294281,0.1409753182135591,0.07091908996058485,159
3544.71410559517,0.1409606802561049,0.07122118155067894,160
5240.84539969627,0.20025110840982005,0.04998448127157068,161
3539.474767133358,0.1407204894232492,0.07016483266209071,162
3546.1910037384496,0.14105124693000937,0.07126732529939699,163
3544.594608267631,0.14092369587432457,0.07118299650684859,164
3546.0733951165935,0.14105642794865955,0.07126461558201129,165
3543.969337330758,0.14098693159209608,0.07106612326827427,166
3543.134546294281,0.1409753182135591,0.07091908996058485,167
3544.71410559517,0.1409606802561049,0.07122118155067894,168
3689.5527430361603,0.2707446393251194,0.03694591869523746,169
3555.2629258147904,0.27858137065930194,0.08178613062454716,170
3536.858407978574,0.26200453578929805,0.06851577059989969,171
3451.9229347091127,0.27387790469393164,0.07057374484769245,172
3550.725801287938,0.2809920522171731,0.06795579128503278,173
3524.704896953817,0.275575842574608,0.07175212456044107,174
3533.795939413594,0.1484915685963654,0.07342106306839374,175
3585.742039190539,0.27437164203773357,0.06763625914406815,176
3556.4408422156853,0.15198328649621703,0.08164618248107093,177
3545.960160647798,0.14201164086287846,0.07067645386309854,178
3544.748859789358,0.3203272397929425,0.07919671686678943,179
3501.5867353130375,0.3002797533397711,0.0717637422129003,180
3584.1422586942367,0.14500422652294692,0.073145451586411,181
3536.410124241814,0.1431328556468513,0.07087884383734466,182
3553.6696549165113,0.2762901199384339,0.07071106630597469,183
3561.2976231121384,0.14287909885459998,0.0715689290178274,184
3545.840632021941,0.2600720693867084,0.0383243503154222,185
3492.3365216654665,0.3064600286968893,0.07252057708889997,186
3545.148873912991,0.14229489752595775,0.07051273234821427,187
3554.042846435379,0.14148971046340536,0.07184324176964273,188
3544.0872397635108,0.14143215464865236,0.07120541230856127,189
3528.8002991414855,0.27882320272029965,0.07061959364149226,190
3551.7046851070736,0.1418813374316699,0.06983370486394475,191
3556.983812824868,0.1454994279414744,0.06875214265524511,192
3507.0168487849587,0.14074125007255137,0.07158999155888325,193
3541.566162752981,0.14188943531944803,0.07085809571783869,194
3553.0964087001753,0.14278127713333383,0.07027381512522786,195
3552.5761683103797,0.14217624328601483,0.07058040044828671,196
3552.7874392218755,0.14214756719725305,0.07059863458086173,197
3553.682913768717,0.14426419628772696,0.06965377647072293,198
3528.5099073239157,0.14115422076960973,0.07114989357989145,199
3545.1974529231406,0.14186636020323662,0.0707786074796936,200
3517.185092602093,0.15637846394438734,0.06355742631675564,201
3698.89713198774,0.14745146912829418,0.0370045393967415,202
3552.4284886429673,0.28086999652831013,0.07042419881219887,203
3539.340868542375,0.2800323684718261,0.07081848085210694,204
3551.793563342845,0.2641326482023658,0.037168996928656106,205
3536.008432897952,0.1597410717232982,0.03991794038398979,206
3573.8321219735267,0.2764395732686083,0.03377824602146171,207
3552.9232601304966,0.281211851060913,0.07040260800542522,208
3517.185092602093,0.15637846394438734,0.06355742631675564,209
3698.89713198774,0.14745146912829418,0.0370045393967415,210
3552.4284886429673,0.28086999652831013,0.07042419881219887,211
3539.340868542375,0.2800323684718261,0.07081848085210694,212
3551.793563342845,0.2641326482023658,0.037168996928656106,213
3536.008432897952,0.1597410717232982,0.03991794038398979,214
3573.8321219735267,0.2764395732686083,0.03377824602146171,215
3552.9232601304966,0.281211851060913,0.07040260800542522,216
3512.9552696259016,0.14125338736088588,0.07130934184190678,217
3483.176569495196,0.1400660223029621,0.0719687836127613,218
3526.286230617424,0.14159414799508308,0.07100499594551377,219
3526.1818712516665,0.1415875833059127,0.07100926056873375,220
3526.0226691709163,0.14159425469643697,0.07099571826291594,221
3525.9785995078137,0.14159676841680854,0.07098965636301963,222
3545.001295688027,0.2822041604096835,0.07086996715389682,223
3565.1765366126956,0.27815122575028656,0.06798775435704466,224
5000.000000000004,0.2,0.05000000000000001,225
3566.4241446551378,0.14323343378883752,0.07560444998807613,226
3539.8316850079123,0.2876315231382856,0.07046020064207931,227
